Sku,ProductCode,Pattern,Color,PatternColorCombo,Status,IntroDate,Contents,Width,Direction,HRepeat,VRepeat,CleaningCode,DoubleRubs,Misc,Disclaimer,Uses,Designs,Colors,Origin,PillingGrade,FireCode,Categories,Brand,IsDropShipped,Image,DisplayPrice,Price,SupplementalImages,FullWidthImages,Inventory.ProductCode,Inventory.Rolls,Inventory.Total,Inventory.PurchaseOrders,Inventory.TotalOnPO,Inventory.OnBackorder
12034,ALSOPMULTI,ALSOP,MULTI,ALSOP MULTI,N,12/12/2024 0:00:00,100% COTTON,55,UPROLL,27.56,27.56,S,"30,000+ WYZ",,,"[""Bedding"",""Drapery"",""Multipurpose""]","[""Animal/Skin"",""Novelty""]","[""Multi-Color""]",INDIA,4,"CA 117, UFAC 1","[""Prints""]",MagFabrics,false,https://images.magfabrics.com/fabrics/ALSOP%20MULTI.jpg,98.00,9800,"[""https://images.magfabrics.com/fabrics/ALSOP%20MULTI-1.jpg"",""https://images.magfabrics.com/fabrics/ALSOP%20MULTI-3.jpg"",""https://images.magfabrics.com/fabrics/ALSOP%20MULTI-4.jpg"",""https://images.magfabrics.com/fabrics/ALSOP%20MULTI-5.jpg"",""https://images.magfabrics.com/fabrics/ALSOP%20MULTI-7.jpg""]","[""https://images.magfabrics.com/fabrics/Full%20Width%20Images/ALSOP%20FULL.jpg""]",ALSOPMULTI,"[{""ID"":""1409-2019"",""Quantity"":""33""}]",33,null,0,0
11317,ANGELBUFF,ANGEL,BUFF,ANGEL BUFF,B,10/4/2023 0:00:00,100% POLYESTER,"118""",UPROLL,0,0,DC,,FR Contract Drapery. Available in whole yardage only.,,"[""Contract"",""Drapery""]","[""Basketweave"",""Solid""]",null,China,,NFPA 701,"[""Fire Rated (Fr)"",""Sheer"",""Wide Width""]",MagFabrics,true,https://images.magfabrics.com/fabrics/ANGEL%20BUFF.jpg,62.00,6200,null,null,,,,,,
11324,ANGELCHARCOAL,ANGEL,CHARCOAL,ANGEL CHARCOAL,B,10/4/2023 0:00:00,100% POLYESTER,"118""",UPROLL,0,0,DC,,FR Contract Drapery. Available in whole yardage only.,,"[""Contract"",""Drapery""]","[""Basketweave"",""Solid""]",null,China,,NFPA 701,"[""Fire Rated (Fr)"",""Sheer"",""Wide Width""]",MagFabrics,true,https://images.magfabrics.com/fabrics/ANGEL%20CHARCOAL.jpg,62.00,6200,null,null,,,,,,
11323,ANGELGREY,ANGEL,GREY,ANGEL GREY,B,10/4/2023 0:00:00,100% POLYESTER,"118""",UPROLL,0,0,DC,,FR Contract Drapery. Available in whole yardage only.,,"[""Contract"",""Drapery""]","[""Basketweave"",""Solid""]",null,China,,NFPA 701,"[""Fire Rated (Fr)"",""Sheer"",""Wide Width""]",MagFabrics,true,https://images.magfabrics.com/fabrics/ANGEL%20GREY.jpg,62.00,6200,null,null,,,,,,
11319,ANGELLATTE,ANGEL,LATTE,ANGEL LATTE,B,10/4/2023 0:00:00,100% POLYESTER,"118""",UPROLL,0,0,DC,,FR Contract Drapery. Available in whole yardage only.,,"[""Contract"",""Drapery""]","[""Basketweave"",""Solid""]",null,China,,NFPA 701,"[""Fire Rated (Fr)"",""Sheer"",""Wide Width""]",MagFabrics,true,https://images.magfabrics.com/fabrics/ANGEL%20LATTE.jpg,62.00,6200,null,null,,,,,,
11320,ANGELPEBBLE,ANGEL,PEBBLE,ANGEL PEBBLE,B,10/4/2023 0:00:00,100% POLYESTER,"118""",UPROLL,0,0,DC,,FR Contract Drapery. Available in whole yardage only.,,"[""Contract"",""Drapery""]","[""Basketweave"",""Solid""]",null,China,,NFPA 701,"[""Fire Rated (Fr)"",""Sheer"",""Wide Width""]",MagFabrics,true,https://images.magfabrics.com/fabrics/ANGEL%20PEBBLE.jpg,62.00,6200,null,null,,,,,,
11316,ANGELRICEPAPER,ANGEL,RICE PAPER,ANGEL RICE PAPER,B,10/4/2023 0:00:00,100% POLYESTER,"118""",UPROLL,0,0,DC,,FR Contract Drapery. Available in whole yardage only.,,"[""Contract"",""Drapery""]","[""Basketweave"",""Solid""]",null,China,,NFPA 701,"[""Fire Rated (Fr)"",""Sheer"",""Wide Width""]",MagFabrics,true,https://images.magfabrics.com/fabrics/ANGEL%20RICE%20PAPER.jpg,62.00,6200,null,null,,,,,,
11314,ANGELSEAFOAM,ANGEL,SEAFOAM,ANGEL SEAFOAM,B,10/4/2023 0:00:00,100% POLYESTER,"118""",UPROLL,0,0,DC,,FR Contract Drapery. Available in whole yardage only.,,"[""Contract"",""Drapery""]","[""Basketweave"",""Solid""]",null,China,,NFPA 701,"[""Fire Rated (Fr)"",""Sheer"",""Wide Width""]",MagFabrics,true,https://images.magfabrics.com/fabrics/ANGEL%20SEAFOAM.jpg,62.00,6200,null,null,,,,,,
11318,ANGELSILVER,ANGEL,SILVER,ANGEL SILVER,B,10/4/2023 0:00:00,100% POLYESTER,"118""",UPROLL,0,0,DC,,FR Contract Drapery. Available in whole yardage only.,,"[""Contract"",""Drapery""]","[""Basketweave"",""Solid""]",null,China,,NFPA 701,"[""Fire Rated (Fr)"",""Sheer"",""Wide Width""]",MagFabrics,true,https://images.magfabrics.com/fabrics/ANGEL%20SILVER.jpg,62.00,6200,null,null,,,,,,
11321,ANGELSTEEL,ANGEL,STEEL,ANGEL STEEL,B,10/4/2023 0:00:00,100% POLYESTER,"118""",UPROLL,0,0,DC,,FR Contract Drapery. Available in whole yardage only.,,"[""Contract"",""Drapery""]","[""Basketweave"",""Solid""]",null,China,,NFPA 701,"[""Fire Rated (Fr)"",""Sheer"",""Wide Width""]",MagFabrics,true,https://images.magfabrics.com/fabrics/ANGEL%20STEEL.jpg,62.00,6200,null,null,,,,,,
11313,ANGELTAPESTRY,ANGEL,TAPESTRY,ANGEL TAPESTRY,B,10/4/2023 0:00:00,100% POLYESTER,"118""",UPROLL,0,0,DC,,FR Contract Drapery. Available in whole yardage only.,,"[""Contract"",""Drapery""]","[""Basketweave"",""Solid""]",null,China,,NFPA 701,"[""Fire Rated (Fr)"",""Sheer"",""Wide Width""]",MagFabrics,true,https://images.magfabrics.com/fabrics/ANGEL%20TAPESTRY.jpg,62.00,6200,null,null,,,,,,
11322,ANGELWALNUT,ANGEL,WALNUT,ANGEL WALNUT,B,10/4/2023 0:00:00,100% POLYESTER,"118""",UPROLL,0,0,DC,,FR Contract Drapery. Available in whole yardage only.,,"[""Contract"",""Drapery""]","[""Basketweave"",""Solid""]",null,China,,NFPA 701,"[""Fire Rated (Fr)"",""Sheer"",""Wide Width""]",MagFabrics,true,https://images.magfabrics.com/fabrics/ANGEL%20WALNUT.jpg,62.00,6200,null,null,,,,,,
11315,ANGELWHITE,ANGEL,WHITE,ANGEL WHITE,B,10/4/2023 0:00:00,100% POLYESTER,"118""",UPROLL,0,0,DC,,FR Contract Drapery. Available in whole yardage only.,,"[""Contract"",""Drapery""]","[""Basketweave"",""Solid""]",null,China,,NFPA 701,"[""Fire Rated (Fr)"",""Sheer"",""Wide Width""]",MagFabrics,true,https://images.magfabrics.com/fabrics/ANGEL%20WHITE.jpg,62.00,6200,null,null,,,,,,
11401,ANNIEPINK,ANNIE,PINK,ANNIE PINK,B,10/11/2023 0:00:00,62% Cotton 38% Viscose Emb: 100% Viscose,"52""",UPROLL,"25.50""","30.50""",S,"50,000",,,"[""Bedding"",""Multipurpose"",""Upholstery""]","[""Embroidery"",""Floral""]","[""Pink""]",INDIA,4.5,UFAC/NFPA 260 CLASS 1 / CAL117-2013,"[""Crewels/Embroideries""]",MagFabrics,false,https://images.magfabrics.com/fabrics/ANNIE%20PINK.jpg,148.00,14800,"[""https://images.magfabrics.com/fabrics/ANNIE%20PINK%201.jpg"",""https://images.magfabrics.com/fabrics/ANNIE%20PINK%202.jpg""]","[""https://images.magfabrics.com/fabrics/Full%20Width%20Images/ANNIE%20FULL.jpg""]",ANNIEPINK,"[{""ID"":""1611-5032"",""Quantity"":""23.125""}]",23.125,null,0,0
11400,ANNIESKY,ANNIE,SKY,ANNIE SKY,B,10/11/2023 0:00:00,62% Cotton 38% Viscose Emb: 100% Viscose,"52""",UPROLL,"25.50""","30.50""",S,"50,000",,,"[""Bedding"",""Multipurpose"",""Upholstery""]","[""Embroidery"",""Floral""]","[""Aqua/Teal"",""Blue"",""Light Blue""]",INDIA,4.5,UFAC/NFPA 260 CLASS 1 / CAL117-2013,"[""Crewels/Embroideries""]",MagFabrics,false,https://images.magfabrics.com/fabrics/ANNIE%20SKY.jpg,148.00,14800,"[""https://images.magfabrics.com/fabrics/ANNIE%20SKY%201.jpg"",""https://images.magfabrics.com/fabrics/ANNIE%20SKY%202.jpg""]","[""https://images.magfabrics.com/fabrics/Full%20Width%20Images/ANNIE%20FULL.jpg""]",ANNIESKY,"[{""ID"":""2010-8775A"",""Quantity"":""34.5""}]",34.5,null,0,0
12311,ANSLEYTANGO,ANSLEY,TANGO,ANSLEY TANGO,N,10/16/2025 0:00:00,100% COTTON,54,UPROLL,27,27,S,"10,000 WYZ",,It is highly reccomended to check this design's image online to view entire pattern repeat. The entire pattern repeat is not included on your sample. No returns will be accepted for unawareness of aspects of this design.,"[""Bedding"",""Drapery"",""Multipurpose""]","[""Floral"",""Tropical/Botanical""]","[""Multi-Color""]",INDIA,4,CA 117,"[""Prints""]",MagFabrics,false,https://images.magfabrics.com/fabrics/ANSLEY%20TANGO.jpg,104.00,10400,"[""https://images.magfabrics.com/fabrics/ANSLEY%20TANGO-1.jpg"",""https://images.magfabrics.com/fabrics/ANSLEY%20TANGO-3.jpg"",""https://images.magfabrics.com/fabrics/ANSLEY%20TANGO-4.jpg"",""https://images.magfabrics.com/fabrics/ANSLEY%20TANGO-5.jpg""]","[""https://images.magfabrics.com/fabrics/Full%20Width%20Images/ANSLEY%20FULL.jpg""]",ANSLEYTANGO,"[{""ID"":""1304-2755"",""Quantity"":""21.75""}]",21.75,null,0,0
12223,AQUARELLECELADO,AQUARELLE,CELADON,AQUARELLE CELADON,B,6/16/2025 0:00:00,100% COTTON,54,UPROLL,13.5,25.25,S,"51,000 WYZ",,,"[""Bedding"",""Drapery"",""Upholstery""]","[""Abstract"",""Floral""]","[""Green"",""Light Green""]",PAKISTAN,4,"CA 117-2013, UFAC 1, OEKO-TEX CERT.","[""Prints""]",MagFabrics,false,https://images.magfabrics.com/fabrics/AQUARELLE%20CELADON.jpg,92.00,9200,"[""https://images.magfabrics.com/fabrics/AQUARELLE%20CELADON-1.jpg"",""https://images.magfabrics.com/fabrics/AQUARELLE%20CELADON-3.jpg""]","[""https://images.magfabrics.com/fabrics/Full%20Width%20Images/AQUARELLE%20FULL.jpg""]",AQUARELLECELADO,"[{""ID"":""1543-1641"",""Quantity"":""15.625""},{""ID"":""1543-1641B"",""Quantity"":""3""},{""ID"":""1543-1641C"",""Quantity"":""15.375""}]",34,null,0,0
